city;scenario;LCOE_USD_per_kWh;NPV_USD;IRR_%;DPBT_years;Hopt_kWhm2y;P_kWp;PR_frac;rd_frac;El_kWh_y;N_years;SCI_frac;Cu_USD_kWp;COM_frac;d_disc_frac;pg_USD_kWh;ps_USD_kWh;rpg_frac;rps_frac;rom_frac;T_tax_frac;Nd_years;Xd_frac;Xl_frac;Xec_frac;Xis_frac;il_frac;Nis_years;Nl_years;dec_frac;PVI_USD;EPV_kWh_y;EPVs_kWh_y;EPVg_kWh_y;PVOM_USD_y1
arequipa;hit;0.119666;6477.493;14.749;8.412441251;2099;1.65;0.84;0.005;0;25;1;2581;0.00752;0.046;0;0.1949;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;4258.65;2909.214;2909.214;0;32.025048
arequipa;perc;0.133521;5007.054;13.222;9.470136111;2099;1.675;0.7;0.005;0;25;1;2375;0.00817;0.046;0;0.1949;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;3978.125;2461.0775;2461.0775;0;32.50128125
chachapoyas;hit;0.176534;5987.266;13.227;9.462245586;1515;1.65;0.87;0.005;0;25;1;2883;0.00673;0.046;0;0.2609;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;4756.95;2174.7825;2174.7825;0;32.0142735
chachapoyas;perc;0.173147;5898.337;13.566;9.210385148;1515;1.675;0.83;0.005;0;25;1;2675;0.00725;0.046;0;0.2609;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;4480.625;2106.22875;2106.22875;0;32.48453125
juliaca;hit;0.12504;9454.851;16.569;7.394112209;2314;1.65;0.86;0.005;0;25;1;3108;0.00624;0.046;0;0.2314;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;5128.2;3283.566;3283.566;0;31.999968
juliaca;perc;0.123183;9234.348;16.891;7.236937486;2314;1.675;0.82;0.005;0;25;1;2898;0.00669;0.046;0;0.2314;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;4854.15;3178.279;3178.279;0;32.4742635
lima;hit;0.176747;2382.935;8.655;14.46347548;1522;1.65;0.83;0.005;0;25;1;2697;0.00831;0.046;0;0.1803;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;4450.05;2084.379;2084.379;0;36.9799155
lima;perc;0.171848;2471.152;9.022;13.91844998;1522;1.675;0.8;0.005;0;25;1;2502;0.00895;0.046;0;0.1803;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;4190.85;2039.48;2039.48;0;37.5081075
tacna;hit;0.123351;6726.091;14.526;8.552644292;2154;1.65;0.84;0.005;0;25;1;2751;0.00705;0.046;0;0.1988;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;4539.15;2985.444;2985.444;0;32.0010075
tacna;perc;0.144358;4741.733;12.353;10.17518558;2154;1.675;0.67;0.005;0;25;1;2544;0.00763;0.046;0;0.1988;0.035;0.035;0.02;0;0;0;0;1;0;0;0;0;0.046;4261.2;2417.3265;2417.3265;0;32.512956
